nationality;image;player;team;gender
Other nationalities;https://media.guim.co.uk/76e46c2275ced995ebcd6c3961e4e201debdba3d/1208_163_999_999/500.jpg;Robert Lewandowski;Bayern Munich;male
argentinian;https://media.guim.co.uk/a2b711f84b594c3c954d9f5b4e609de626d7b2d6/286_21_1481_1480/500.jpg;Lionel Messi;Paris Saint-Germain;male
Other nationalities;https://media.guim.co.uk/5cf11e3ef6ab21429b58024e2bc96c58077e3e84/644_66_789_789/500.jpg;Mohamed Salah;Liverpool;male
French;https://media.guim.co.uk/2c561665bb8bb2de6bbd7e0d0ae93be5f119e94f/1885_157_943_943/500.jpg;Karim Benzema;Real Madrid;male
Italian;https://media.guim.co.uk/20d83cde943e398fd642a9ed92a7cf9d177ab044/678_91_986_986/500.jpg;Jorginho;Chelsea;male
French;https://media.guim.co.uk/6c0a5cbd5594bfc951d5ae67ded7584611478c9e/1001_896_1326_1327/500.jpg;Kylian Mbappé;Paris Saint-Germain;male
Other nationalities;https://media.guim.co.uk/faf5e9beaa3fe6fa2ff3bbdfc2483c78bfa8eba2/662_0_1200_1200/500.jpg;Erling Haaland;Borussia Dortmund;male
Other nationalities;https://media.guim.co.uk/0d1bc4792b2679d417faebbf48789fb47e2158c1/1119_116_2997_2997/500.jpg;Cristiano Ronaldo;Manchester United;male
French;https://media.guim.co.uk/f8a6004d8753e6706bb272204d9d9a69cc3f5b10/2944_3_1686_1687/500.jpg;N'Golo Kanté;Chelsea;male
Belgian;https://media.guim.co.uk/3d96736efdc7c98f816fc0134d1d5a5a760e1b54/582_101_1016_1016/500.jpg;Kevin De Bruyne;Manchester City;male
Belgian;https://media.guim.co.uk/c4b0b203ed0e03c870d4cab4b863d0b1e73ad0fb/1307_239_909_909/500.jpg;Romelu Lukaku;Chelsea;male
Other nationalities;https://media.guim.co.uk/0a61a8481496fda3f41bcf8ed9c09a7b61ce1fa8/984_57_994_994/500.jpg;Gianluigi Donnarumma;Paris Saint-Germain;male
Brazilian;https://media.guim.co.uk/1a2668ce5c50975b910ba902d244e91f64a590f3/1681_17_983_983/500.jpg;Neymar;Paris Saint-Germain;male
Other nationalities;https://media.guim.co.uk/357d50445ca7ed4f8375947655f64b65451366b1/1325_23_784_784/500.jpg;Rúben Dias;Manchester City;male
English;https://media.guim.co.uk/0facee57481179fd75d63581eb615f65113faca0/328_0_1491_1491/500.jpg;Harry Kane;Tottenham Hotspur;male
Other nationalities;https://media.guim.co.uk/388b4da70a19dafa4c0160f3eaf17554d7d1af86/1254_434_758_758/500.jpg;Bruno Fernandes;Manchester United;male
Italian;https://media.guim.co.uk/762284de9582731dae098ccf5d30b02d706d18f3/432_207_1539_1539/500.jpg;Federico Chiesa;Juventus;male
German;https://media.guim.co.uk/09f88ac81d567b878950f6fee195cebc17856799/946_0_1520_1520/500.jpg;Joshua Kimmich;Bayern Munich;male
Other nationalities;https://media.guim.co.uk/e932fed343d28e1ef760e102fc167371dd1b2251/813_30_2552_2553/500.jpg;Luis Suárez;Atlético Madrid;male
Other nationalities;https://media.guim.co.uk/10ccb7dcb6a439ac55b5e3048580953fc9e0eab5/856_141_976_976/500.jpg;Édouard Mendy;Chelsea;male
Spanish;https://media.guim.co.uk/97da12241031dfc8ac97be0b2ef230fd09e9df01/2282_88_766_766/500.jpg;Pedri;Barcelona;male
Italian;https://media.guim.co.uk/51612ea320e42311497989de27f6f58ac24208d8/666_9_1048_1048/500.jpg;Leonardo Bonucci;Juventus;male
Other nationalities;https://media.guim.co.uk/41a0d5dc347ccb04dc32038716858bd21741a9d2/562_551_1132_1132/500.jpg;Sadio Mané;Liverpool;male
Italian;https://media.guim.co.uk/0bffdc9e3c9fb9cbef403801e9b86dd85489be3c/1516_104_1117_1117/500.jpg;Giorgio Chiellini;Juventus;male
English;https://media.guim.co.uk/debddf68e71e421b1062a19bed49445d88f8f874/1204_511_1246_1246/500.jpg;Phil Foden;Manchester City;male
Italian;https://media.guim.co.uk/4dbbd12acc6a8244ed0c1736370dfa047886df35/1239_45_737_737/500.jpg;Nicolò Barella;Internazionale;male
English;https://media.guim.co.uk/73bd2c9a4a300d34b139450bbebe06afd8338def/948_78_1285_1285/500.jpg;Mason Mount;Chelsea;male
German;https://media.guim.co.uk/bbdb2371eadaed0121bc5ae336b73c40730ef1a3/1012_133_1288_1288/500.jpg;Thomas Müller;Bayern Munich;male
English;https://media.guim.co.uk/119e4329ed465732c1b10bf2c91209f60aafbe70/1591_45_1220_1221/500.jpg;Raheem Sterling;Manchester City;male
argentinian;https://media.guim.co.uk/939adce138e1c234c41ae0dc816a64d64abd0379/1259_27_818_818/500.jpg;Lautaro Martínez;Internazionale;male
Brazilian;https://media.guim.co.uk/e5fc207ffba13496fa88efeb32cb6ffe71de0f49/546_48_1594_1594/500.jpg;Vinícius Júnior;Real Madrid;male
argentinian;https://media.guim.co.uk/9fa36ce19f8a90009f801ae3e9f4b58624d4a679/1099_398_1090_1090/500.jpg;Ángel Di María;Paris Saint-Germain;male
